arti, ãria, ãrė
baigti, baĩgia, baĩgė
birbti, bir̃bia, bir̃bė
blokšti, blõškia, blõškė
braukti, braũkia, braũkė
brėžti, brė́žia, brė́žė
burti, bùria, bū́rė
čiaužti, čiaužia, čiaužė

čiulpti, čiul̃pia, čiul̃pė
čiuožti, čiuõžia, čiuõžė
cypti, cỹpia, cỹpė
daužti, daũžia, daũžė
delsti, del̃sia, del̃sė
dengti, deñgia, deñgė
dergti, dérgia, dérgė
dobti, dóbia, dobė
drėbti, drẽbia, drė̃bė
drožti, dróžia, dróžė
dumti, dùmia, dū́mė
durti, dùria, dū́rė
dvelkti, dvel̃kia, dvel̃kė
dvokti, dvõkia, dvõkė
engti, éngia, éngė
gaubti, gaũbia, gaũbė
gerbti, ger̃bia, ger̃bė
glėbti, glė́bia, glė́bė
graužti, gráužia, gráužė
grėbti, grė́bia, grė́bė
gręžti, grę̃žia, grę̃žė
griebti, griẽbia, griẽbė
griežti, gríežia, gríežė
grobti, gróbia, gróbė
jaukti, jaũkia, jaũkė
jungti, jùngia, jungė̃
kaukti, kaũkia, kaũkė
kaupti, kaũpia, kaũpė
keikti, kéikia, kéikė
kenkti, keñkia, keñkė
kergti, ker̃gia, ker̃gė
klaupti, klaũpia, klaũpė
klausti, kláusia, kláusė
klykti, klỹkia, klỹkė
knarkti, knar̃kia, knar̃kė
kniaukti, kniaũkia, kniaũkė
kopti, kõpia, kõpė
košti, kóšia, kõšė
kreipti, kreĩpia, kreĩpė
kulti, kùlia, kū́lė
kuopti, kuõpia, kuõpė
kurti, kùria, kū́rė
laukti, láukia, laũkė
laužti, láužia, láužė
lenkti, leñkia, lénkė
liepti, liẽpia, liẽpė
lošti, lõšia, lõšė
melžti, mélžia, mélžė
merkti, mérkia, mérkė
mėžti, mė́žia, mė́žė
miaukti, miaũkia, miaũkė
miešti, miẽšia, miẽšė
murkti, mur̃kia, mur̃kė
mūkti, mū̃kia, mū̃kė
mykti, mỹkia, mỹkė
neigti, neĩgia, neĩgė
neršti, ner̃šia, ner̃šė
niokti, niokia, niokė
ošti, õšia, õšė
peikti, peĩkia, peĩkė
piešti, piẽšia, piẽšė
plaukti, plaũkia, plaũkė
pliaukšti, pliaũškia, pliaũškė
pliurpti, pliur̃pia, pliur̃pė
puošti, puõšia, puõšė
purkšti, pur̃škia, pur̃škė
raugti, ráugia, ráugė
raukti, raũkia, raũkė
reikšti, réiškia, réiškė
reikti, reĩkia, reĩkė
rėkti, rė̃kia, rė̃kė
rengti, reñgia, reñgė
rėžti, rė́žia, rė̃žė
riekti, riẽkia, riekė̃
ruošti, ruõšia, ruõšė
šaukti, šaũkia, šaũkė
šiaušti, šiaušia, šiaušė
siekti, síekia, síekė
siurbti, siur̃bia, siur̃bė
skalbti, skal̃bia, skal̃bė
skelbti, skélbia, skélbė
slėgti, slẽgia, slė̃gė
slėpti, slẽpia, slė̃pė
šliaužti, šliaũžia, šliaũžė
smaugti, smáugia, smáugė
smaukti, smaũkia, smaũkė
smeigti, smeĩgia, smeigė̃
šmeižti, šmeĩžia, šmeĩžė
smerkti, smer̃kia, smer̃kė
smogti, smõgia, smõgė
spiegti, spiẽgia, spiẽgė
srėbti, srėbia, srė̃bė
sriuobti, sriuobia, sriuobė
staugti, stáugia, stáugė
steigti, steĩgia, steĩgė
stumti, stùmia, stū́mė
švilpti, švil̃pia, švil̃pė
tarti, tãria, tãrė
taukšti, taũškia, taũškė
teigti, teĩgia, teĩgė
teikti, teĩkia, teĩkė
teisti, teĩsia, téisė
telkti, tel̃kia, tel̃kė
tempti, tem̃pia, tem̃pė
teršti, ter̃šia, ter̃šė
tiekti, tiẽkia, tiẽkė
tiesti, tiẽsia, tiesė̃
tirti, tìria, tỹrė
traukti, tráukia, tráukė
trenkti, treñkia, treñkė
tręšti, trę̃šia, trę̃šė
tuokti, tuõkia, tuõkė
tūpti, tùpia, tū̃pė
tvenkti, tveñkia, tveñkė
ūkti, ū̃kia, ū̃kė
ūžti, ū̃žia, ū̃žė
veikti, veĩkia, veĩkė
veisti, veĩsia, veitė
vemti, vẽmia, vė́mė
vengti, véngia, véngė
verkti, ver̃kia, ver̃kė
verpti, ver̃pia, ver̃pė
versti, ver̃čia, vertė̃
vožti, vóžia, vóžė
žžengti, žeñgia, žeñgė
žžiebti, žiẽbia, žiẽbė
zirzti, zir̃zia, zir̃zė
žliaugti, žliaũgia, žliaũgė
žnybti, žnýbia, žnybė
žvelgti, žvel̃gia, žvel̃gė
žvengti, žvéngia, žvéngė
žviegti, žviẽgia, žviẽgė
zvimbti, zvim̃bia, zvim̃bė
zyzti, zỹzia, zỹzė
