adyti, ãdo, ãdė
ardyti, ar̃do, ar̃dė
badyti, bãdo, bãdė
baidyti, baĩdo, baĩdė
bandyti, bañdo, bañdė
barstyti, bar̃sto, bar̃stė
blaškyti, blãško, blãškė
braidyti, braĩdo, braĩdė
braižyti, braĩžo, braĩžė
braukyti, braũko, braũkė
daryti, dãro, dãrė
daužyti, daũžo, daũžė
dažyti, dãžo, dãžė
dėstyti, dėsto, dėstė
drabstyti, drãbsto, drãbstė
draskyti, drãsko, drãskė
ganyti, gãno, gãnė
gaudyti, gáudo, gáudė
gimdyti, gim̃do, gim̃dė
girdyti, gir̃do, gìrdė
glaudyti, glaudo, glaũdė
glostyti, glósto, glóstė
gnaibyti, gnáibo, gnáibė
gniuždyti, gniùždo, gniùždė
graibyti, graĩbo, graĩbė
gramdyti, grámdo, grámdė
grobstyti, gróbsto, gróbstė
guldyti, gul̃do, gul̃dė
gundyti, gùndo, guñdė
gydyti, gýdo, gýdė
kamšyti, kam̃šo, kam̃šė
karpyti, kar̃po, kar̃pė
kasyti, kãso, kãsė
kaustyti, káusto, káustė
kinkyti, kiñko, kiñkė
kirdyti, kirdo, kirdė
kiurdyti, kiùrdo, kiurdė
klausyti, klaũso, klaũsė
kliudyti, kliùdo, kliùdė
kraipyti, kraĩpo, kraĩpė
kramtyti, kram̃to, kram̃tė
krapštyti, krãpšto, krãpštė
kratyti, krãto, krãtė
kraustyti, kráusto, kráustė
krikdyti, krikdo, krikdė
laidyti, laĩdo, laidė̃
laikyti, laĩko, laĩkė
laistyti, láisto, láistė
laižyti, laĩžo, laĩžė
lakstyti, lãksto, lãkstė
lamdyti, lámdo, lámdė
lankstyti, lañksto, lañkstė
lankyti, lañko, lañkė
laužyti, láužo, láužė
lipdyti, lipdo, lipdė
lopyti, lõpo, lopė̃
lydyti, lýdo, lýdė
maigyti, máigo, máigė
mainyti, maĩno, maĩnė
maišyti, maĩšo, maĩšė
maldyti, mal̃do, mal̃dė
manyti, mãno, mãnė
mąstyti, mą̃sto, mą̃stė
maudyti, máudo, máudė
mėtyti, mė́to, mė́tė
migdyti, migdo, migdė
minkyti, mìnko, mìnkė
mokyti, móko, mókė
nardyti, nárdo, nárdė
narstyti, nársto, nárstė
naršyti, nar̃šo, nar̃šė
paisyti, paĩso, paĩsė
pelnyti, pel̃no, pel̃nė
pildyti, pìldo, pìldė
pjaustyti, pjáusto, pjáustė
plaukyti, pláuko, plaũkė
plėšyti, plė́šo, plė́šė
plikyti, plìko, plìkė
plukdyti, plùkdo, plùkdė
purtyti, pùrto, pùrtė
pustyti, pùsto, pùstė
pykdyti, pýkdo, pýkdė
raikyti, raĩko, raĩkė
raityti, raĩto, raĩtė
raižyti, ráižo, raĩžė
rangyti, rángo, rañgė
rankyti, ranko, rankė
rašyti, rãšo, rãšė
rėžyti, rė̃žo, rė̃žė
rodyti, ròdo, ródė
rūkyti, rū̃ko, rū̃kė
sakyti, sãko, sãkė
šaldyti, šáldo, šáldė
samdyti, sam̃do, sam̃dė
šaudyti, šáudo, šáudė
šildyti, šildo, šildė
siūlyti, siū́lo, siū́lė
skabyti, skãbo, skãbė
skaidyti, skáido, skáidė
skaityti, skaĩto, skaĩtė
skaldyti, skáldo, skáldė
skirstyti, skirsto, skirstė
sklaidyti, sklaĩdo, sklaĩdė
skraidyti, skraĩdo, skraĩdė
slaugyti, slaũgo, slaũgė
šluostyti, šlúosto, šluõstė
smaigstyti, smaĩgsto, smaĩgstė
smaigyti, smaĩgo, smaĩgė
smaukyti, smaũko, smaũkė
smukdyti, smùkdo, smùkdė
stabdyti, stãbdo, stãbdė
statyti, stãto, stãtė
sūdyti, sūdo, sūdė
svaidyti, sváido, sváidė
švaistyti, švaĩsto, švaĩstė
svarstyti, svar̃sto, svar̃stė
taikyti, táiko, táikė
taisyti, taĩso, taĩsė
tampyti, tam̃po, tam̃pė
tardyti, tárdo, tárdė
taškyti, tãško, tãškė
tašyti, tãšo, tãšė
taupyti, taũpo, taũpė
temdyti, témdo, témdė
tildyti, tildo, tildė
tirpdyti, tir̃pdo, tir̃pdė
traiškyti, tráiško, tráiškė
tramdyti, trámdo, trámdė
trankyti, trañko, trañkė
trikdyti, trikdo, trikdė
trukdyti, trùkdo, trùkdė
tvardyti, tvárdo, tvárdė
tvarkyti, tvar̃ko, tvar̃kė
tvarstyti, tvársto, tvárstė
ugdyti, ùgdo, ùgdė
uostyti, úosto, úostė
vaikyti, vaĩko, vaĩkė
vaipyti, vaipo, vaipė
valdyti, val̃do, val̃dė
valgyti, válgo, válgė
valyti, vãlo, vãlė
varstyti, vársto, várstė
vartyti, var̃to, var̃tė
varyti, vãro, varė̃
varžyti, var̃žo, var̃žė
virkdyti, virkdo, virkdė
vykdyti, výkdo, výkdė
vystyti, výsto, výstė
žindyti, žìndo, žìndė
žlugdyti, žlùgdo, žlùgdė
žudyti, žùdo, žùdė
žvalgyti, žval̃go, žval̃gė
