audėti, auda, audėjo
blizgėti, blizga, blizgėjo
brazdėti, brãzda, brazdėjo
burbėti, bùrba, burbėjo
byrėti, bỹra, byrėjo
čežėti, čẽža, čežėjo
čiauškėti, čiáuška, čiauškėjo
čirpėti, čirpa, čirpėjo
čiulbėti, čiùlba, čiulbėjo
derėti, dẽra, derėjo
drebėti, drẽba, drebėjo
dundėti, dùnda, dundėjo
gagėti, gagà, gagėjo
gebėti, gẽba, gebėjo
girgždėti, girgždà, girgždėjo
judėti, jùda, judėjo
kabėti, kabà, kabėjo
kalbėti, kalbà, kalbėjo
kirbėti, kirba, kirbėjo
knibždėti, knibžda, knibždėjo
krutėti, krùta, krutėjo
lašėti, lãša, lašėjo
mirgėti, mirga, mirgėjo
mokėti, mokà, mokėjo
murmėti, mùrma, murmėjo
plepėti, plẽpa, plepėjo
plėpėti, plẽpa, plepėjo
pleškėti, plẽška, pleškėjo
pyškėti, pýška, pyškėjo
ridėti, ridà, ridėjo
riedėti, riẽda, riedėjo
skambėti, skamba, skambėjo
skaudėti, skaũda, skaudėjo
skubėti, skùba, skubėjo
šlamėti, šlãma, šlamėjo
šnabždėti, šnãbžda, šnabždėjo
šnekėti, šnekà, šnekėjo
šnibždėti, šnibžda, šnibždėjo
tekėti, tẽka, tekėjo
tratėti, trãta, tratėjo
trupėti, trùpa, trupėjo
varvėti, varva, varvėjo
virpėti, virpa, virpėjo
vizgėti, vizga, vizgėjo
žadėti, žãda, žadėjo
žibėti, žiba, žibėjo
žvarbėti, žvarbà, žvarbėjo
žvilgėti, žvilga, žvilgėjo
žybėti, žiba, žibėjo
