absorbuoti, absorbúoja, absorbãvo
abstrahuoti, abstrahúoja, abstrahãvo
abuojėti, abuojėja, abuojėjo
adaptuoti, adaptúoja, adaptãvo
adinėti, adinėja, adinėjo
administruoti, administrúoja, administrãvo
adresuoti, adresúoja, adresãvo
adyti, ãdo, ãdė
aidėti, áidi, aidė́jo
aikčioti, áikčioja, áikčiojo
akcentuoti, akcentúoja, akcentãvo
akėti, akė́ja, akė́jo
akinti, ãkina, ãkino
akti, añka, ãko
aktyvėti, aktyvė́ja, aktyvė́jo
aktyvinti, aktỹvina, aktỹvino
aktyvuoti, aktyvuoja, aktyvavo
alkti, álksta, al̃ko
alpti, al̃psta, al̃po
alsinti, alsìna, alsìno
amputuoti, amputuoja, amputãvo
amsėti, ámsi, amsė́jo
amžinti, amžinà, ámžino
analizuoti, analizúoja, analizãvo
aneksuoti, aneksúoja, aneksãvo
antspauduoti, antspaudúoja, antspaudãvo
ardyti, ar̃do, ar̃dė
areštuoti, areštúoja, areštãvo
artėti, artė́ja, artė́jo
arti, ãria, ãrė
artinti, ar̃tina, ar̃tino
asimiliuoti, asimiliúoja, asimiliãvo
asmenuoti, asmenúoja, asmenãvo
asocijuoti, asocijúoja, asocijavo
audėti, auda, audė́jo
auginti, augìna, augìno
augti, áuga, áugo
auklėti, áuklėja, áuklėjo
aukoti, aukója, aukójo
aukštinti, áukština, áukštino
auksuoti, auksúoja, auksãvo
austi, áudžia, áudė
aušti, áudžia, áudė
auti, aũna, ãvė
automatizuoti, automatizúoja, automatizavo
avėti, ãvi, avė́jo
badauti, badáuja, badãvo
badyti, bãdo, bãdė
baidyti, baĩdo, baĩdė
baigti, baĩgia, baĩgė
baiminti, báimina, báimino
baisėti, baisėja, baisėjo
bakstelėti, bãksteli, bãkstelėjo
balansuoti, balansúoja, balansãvo
balinti, bãlina, bãlino
balnoti, balnója, balnójo
balsti, balsta, bãlo
balsuoti, balsúoja, balsãvo
baltėti, baltėja, baltėjo
balti, bą̃la, bãlo
baltinti, baltinà, báltino
baltuoti, baltúoja, baltãvo
bandyti, bañdo, bañdė
banguoti, bangúoja, bangãvo
bankrutuoti, bankrutúoja, bankrutãvo
barškinti, bárškina, bárškino
barstyti, bar̃sto, bar̃stė
barti, bãra, bãrė
bauginti, baugìna, baugìno
bausti, baũdžia, baũdė
bėginėti, bėginė́ja, bėginė́jo
bėgioti, bėgiója, bėgiójo
bėgti, bė́ga, bė́go
bidzenti, bidzena, bidzeno
bijoti, bìjo, bijójo
birbti, bir̃bia, bir̃bė
birti, bỹra, bìro
bjurti, bjursta, bjùro
blankti, blañksta, blánko
blaškyti, blãško, blãškė
blefuoti, blefuoja, blefavo
blęsti, bleñdžia, bleñdė
blizgėti, blìzga, blizgė́jo
blizginti, blìzgina, blìzgino
blogėti, blogė́ja, blogė́jo
bloginti, blõgina, blõgino
blogti, blogsta, blõgo
blokšti, blõškia, blõškė
blokuoti, blokúoja, blokãvo
blukinti, blùkina, blukino
blukti, bluñka, blùko
blykšti, blỹkšta, blỹško
bodėti, bõdi, bodėjo
boluoti, bolúoja, bolãvo
bombarduoti, bombardúoja, bombardãvo
braidyti, braĩdo, braĩdė
braižyti, braĩžo, braĩžė
brandinti, brandìna, brandìno
branginti, brangìna, brangìno
brangti, brángsta, brángo
braukti, braũkia, braũkė
braukyti, braũko, braũkė
brazdėti, brãzda, brazdė́jo
bręsti, brę́sta, bréndo
brėžti, brė́žia, brė́žė
brinkti, brìnksta, brìnko
bristi, breñda, brìdo
brukti, brunka, brùko
brūžinti, brū́žina, brū́žino
bučiuoti, bučiúoja, bučiãvo
budėti, bùdi, budė́jo
budinti, bùdina, bùdino
būgštauti, būgštauja, bū́gštavo
bujoti, bujója, bujójo
burbėti, bùrba, burbė́jo
burbuliuoti, burbuliúoja, burbuliãvo
buriuoti, buriúoja, buriãvo
būriuoti, buriúoja, buriãvo
burti, bùria, bū́rė
busti, buñda, bùdo
būti, yrà, bùvo
buvoti, buvója, buvójo
byloti, bylója, bylójo
byrėti, bỹra, byrė́jo
čežėti, čẽža, čežė́jo
čežti, čęžta, čežo
čiaudėti, čiáudėja, čiáudėjo
čiauškėti, čiáuška, čiauškė́jo
čiaužti, čiaužia, čiaužė
čirpėti, čirpa, čirpėjo
cituoti, citúoja, citãvo
čiulbėti, čiùlba, čiulbė́jo
čiulpti, čiul̃pia, čiul̃pė
čiuožinėti, čiuožinė́ja, čiuožinė́jo
čiuožti, čiuõžia, čiuõžė
čiupti, čiupa, čiùpo
civilizuoti, civilizuoja, civilizãvo
cypauti, cýpauja, cýpavo
cypti, cỹpia, cỹpė
dabinti, dabìna, dabìno
dailėti,  dailėja,  dailėjo
dainuoti, dainúoja, dainãvo
dalinti, dalìna, dalìno
dalyti, dalìja, dalìjo
dalyvauti, dalyváuja, dalyvãvo
daryti, dãro, dãrė
daugėti, daugė́ja, daugė́jo
dauginti, dáugina, daũgino
daužinėti, daužinėja, daužinėjo
daužti, daũžia, daũžė
daužyti, daũžo, daũžė
davinėti, davinė́ja, davinė́jo
dažyti, dãžo, dãžė
deaktivuoti, deaktyvuoja, deaktyvavo
dedikuoti, dedikúoja, dedikãvo
deginti, dẽgina, dẽgino
degti, dẽga, dẽgė
dejuoti, dejúoja, dejãvo
deklaruoti, deklarúoja, deklarãvo
dekoruoti, dekorúoja, dekorãvo
dėkoti, dėkója, dėkójo
dėlioti, dėliója, dėliójo
delsti, del̃sia, del̃sė
dėmėti, dėmėja, dėmėjo
demonstruoti, demonstrúoja, demonstrãvo
dengti, deñgia, deñgė
deportuoti, deportúoja, deportãvo
derėti, dẽra, derė́jo
dergti, dérgia, dérgė
derinti, dẽrina, dẽrino
dėstyti, dė́sto, dė́stė
dėti, dẽda, dė́jo
devalvuoti, devalvúoja, devalvãvo
dėvėti, dė̃vi, dėvė́jo
diagnozuoti, diagnozúoja, diagnozãvo
didėti, didė́ja, didėjo
didinti, dìdina, dìdino
dienoti, dienója, dienójo
dievinti, diẽvina, diẽvino
diktuoti, diktúoja, diktãvo
dilti, dỹla, dìlo
dingti, diñgsta, diñgo
dirbinėti, dirbinė́ja, dirbinė́jo
dirbti, dìrba, dìrbo
direktoriauti, direktoriáuja, direktoriãvo
dirginti, dìrgina, dìrgino
dirgti, dirgsta, dirgo
diriguoti, dirigúoja, dirigãvo
dirstelėti, dirstelėja, dìrstelėjo
dirti, dìria, dýrė
diskutuoti, diskutúoja, diskutãvo
dobti, dóbia, dobė
dominti, dõmina, dõmino
dominuoti, dominúoja, dominãvo
doroti, dorója, dorójo
dovanoti, dovanója, dovanójo
drabstyti, drãbsto, drãbstė
dramatizuoti, dramatizúoja, dramatizãvo
drąsinti, drą́sina, drą́sino
drąskyti, drą́sina, drą́sino
draskyti, drãsko, drãskė
draugauti, draugáuja, draugãvo
drausti, draũdžia, draũdė
drebėti, drẽba, drebė́jo
drebinti, drẽbina, drẽbino
drėbti, drẽbia, drė̃bė
drėgti, drėgsta, drėgo
dreifuoti, dreifúoja, dreifãvo
drėksti, drẽskia, drė̃skė
drėkti, drė́ksta, drė́ko
dribti, drim̃ba, drìbo
drįsti, drį̃sta, drį̃so
drožti, dróžia, dróžė
drumsti, drum̃sčia, drum̃stė
drybsoti, drỹbso, drybsójo
dubliuoti, dubliúoja, dubliãvo
dubti, dum̃ba, dùbo
dūgzti, dū̃zgia, dū̃zgė
dūkti, dū̃ksta, dū̃ko
dulkinti, dulkinà, dùlkino
dulksnoti, dulksnója, dulksnójo
dumti, dùmia, dū́mė
dundėti, dùnda, dundė́jo
duoti, dúoda, dãvė
durti, dùria, dū́rė
dūsauti, dū́sauja, dūsãvo
dusinti, dùsina, dùsino
dusti, dū̃sta, dùso
dvejoti, dvejója, dvejójo
dvelkti, dvel̃kia, dvel̃kė
dvėsti, dvẽsia, dvė̃sė
dvigubinti, dvìgubina, dvìgubino
dvokti, dvõkia, dvõkė
dygti, dýgsta, dýgo
dykinėti, dykinė́ja, dykinė́jo
džiauti, džiáuna, džióvė
džiovinti, džiovìna, džiovìno
džiūgauti, džiū́gauja, džiū́gavo
džiuginti, džiùgina, džiùgino
džiūti, džiūsta, džiuvo
egzistuoti, egzistúoja, egzistãvo
eidinėti, eidinė́ja, eidinėjo
eikvoti, eikvója, eikvójo
eiliuoti, eiliúoja, eiliãvo
eiti, eĩna, ė̃jo
eksperimentuoti, eksperimentúoja, eksperimentãvo
ekzaminuoti, ekzaminuoja, ekzaminavo
ekzistuoti, ekzistuoja, ekzistavo
elektrifikuoti, elektrifikuoja, elektrifikãvo
elgegauti, elgetáuja, elgetãvo
elgetauti, elgetáuja, elgetãvo
ėmėti, ėmė́ja, ėmė́jo
emigruoti, emigrúoja, emigrãvo
emuliuoti, emuliuoja, emuliavo
engti, éngia, éngė
erzinti, érzina, érzino
ėsti, ė́da, ė́dė
evakuoti, evakúoja, evakãvo
fantazuoti, fantazúoja, fantazãvo
figūruoti, figūrúoja, figūrãvo
filmuoti, filmúoja, filmãvo
filosofuoti, filosofúoja, filosofãvo
finansuoti, finansúoja, finansãvo
flirtuoti, flirtúoja, flirtãvo
fokusuoti, fokusuoja, fokusavo
forminti, formina, formino
formuoti, formúoja, formãvo
fotografuoti, fotografúoja, fotografãvo
funkcionuoti, funkcionúoja, funkcionãvo
gabenti, gabẽna, gabẽno
gadinti, gadìna, gadìno
gagėti, gagà, gagėjo
gailėti, gaĩli, gailė́jo
gaišti, gaĩšta, gaĩšo
gaivinti, gaivìna, gaivìno
galąsti, galánda, galándo
galėti, gãli, galė́jo
galioti, galiója, galiójo
galvoti, galvója, galvójo
gaminti, gamìna, gamìno
ganyti, gãno, gãnė
garantuoti, garantúoja, garantãvo
garbanoti, garbanoja, garbanojo
garbinti, gárbina, gárbino
garsėti, garsė́ja, garsė́jo
garuoti, garúoja, garãvo
gąsdinti, gą̃sdina, gą̃sdino
gąstauti, gąstauja, gąstavo
gaubti, gaũbia, gaũbė
gaudyti, gáudo, gáudė
gausėti, gausė́ja, gausė́jo
gauti, gáuna, gãvo
gebėti, gẽba, gebė́jo
gedėti, gẽdi, gedė́jo
gėdinti, gė́dina, gė́dino
gėdyti, gėdyja, gėdyjo
geibti, geĩbsta, geibo
geisti, geĩdžia, geĩdė
gelbėti, gélbėja, gélbėjo
gelsti, gel̃sta, gel̃to
gelsvinti, gelsvina, gelsvino
gelti, gẽlia, gėlė̃
geltonėti, geltonė́ja, geltonėjo
geltoninti, geltonina, geltonino
geltonuoti, geltonúoja, geltonãvo
genėti, genė́ja, genė́jo
gerbti, ger̃bia, ger̃bė
gerėti, gerė́ja, gerė́jo
gerinti, gẽrina, gẽrino
gerti, gẽria, gė́rė
gervuogiauti, gervuogiauja, gervuogiavo
gesinti, gesìna, gesìno
gesti, geñda, gẽdo
giedoti, giedoja, giedójo
giedrėti, giedrė́ja, giedrė́jo
giedryti, giedrija, giedrijo
gilėti, gilė́ja, gilė́jo
