badauti, badáuja, badãvo
būgštauti, būgštauja, būgštavo
cypauti, cýpauja, cýpavo
dalyvauti, dalyváuja, dalyvãvo
direktoriauti, direktoriáuja, direktoriãvo
draugauti, draugáuja, draugãvo
dūsauti, dūsauja, dūsãvo
džiūgauti, džiūgauja, džiūgavo
elgegauti, elgetáuja, elgetãvo
elgetauti, elgetáuja, elgetãvo
gąstauti, gąstauja, gąstavo
gervuogiauti, gervuogiauja, gervuogiavo
girtauti, girtáuja, girtãvo
grybauti, grybáuja, grybãvo
gudrauti, gudráuja, gudrãvo
juokauti, juokáuja, juokãvo
kariauti, kariáuja, kariãvo
keliauti, keliáuja, keliãvo
kerštauti, kerštáuja, kerštãvo
kiškiakopūsteliauti, kiškiakopūsteliauja, kiškiakopūsteliavo
krykštauti, krýkštauja, krýkštavo
lenktyniauti, lenktyniáuja, lenktyniãvo
liežuvauti, liežuváuja, liežuvavo
maištauti, maištáuja, maištãvo
maldauti, maldáuja, maldãvo
meilikauti, meilikáuja, meilikãvo
mokytojauti, mokytojáuja, mokytojãvo
nekantrauti, nekantráuja, nekantrãvo
nerimauti, nerimáuja, nerimãvo
obuoliauti, obuoliauja, obuoliavo
pietauti, pietáuja, pietãvo
piktnaudžiauti, piktnaudžiáuja, piktnaudžiãvo
piratauti, piratáuja, piratãvo
pirmauti, pirmáuja, pirmãvo
plėšikauti, plėšikáuja, plėšikãvo
poilsiauti, poilsiáuja, poilsiãvo
pokštauti, pókštauja, pókštavo
posėdžiauti, posėdžiáuja, posėdžiãvo
prekiauti, prekiáuja, prekiãvo
ragauti, ragáuja, ragãvo
reikalauti, reikaláuja, reikalãvo
rėkauti, rėkauja, rėkavo
rungtyniauti, rungtyniáuja, rungtyniãvo
rūstauti, rūstauja, rūstavo
santykiauti, santykiáuja, sántykiavo
šeimininkauti, šeimininkáuja, šeimininkãvo
sielvartauti, sielvartáuja, sielvartãvo
skalauti, skaláuja, skalãvo
skanauti, skanáuja, skanãvo
smaguriauti, smaguriáuja, smaguriãvo
smaližiauti, smaližiáuja, smaližiãvo
spygauti, spýgauja, spýgavo
stovyklauti, stovykláuja, stovyklãvo
šūkauti, šūkauja, šūkãvo
švilpauti, švìlpauja, švìlpavo
tarnauti, tarnáuja, tarnãvo
tarpininkauti, tarpininkáuja, tarpininkãvo
tinginiauti, tinginiáuja, tinginiãvo
triukšmauti, triumškauja, triukšmãvo
ūkininkauti, ūkininkáuja, ūkininkãvo
uogauti, uogáuja, uogãvo
vadovauti, vadováuja, vadovãvo
vagiliauti, vagiliáuja, vagiliãvo
vakarieniauti, vakarieniáuja, vakarieniãvo
valkatauti, valkatáuja, valkatãvo
vergauti, vergáuja, vergãvo
vertėjauti, vertėjáuja, vertėjãvo
viešpatauti, viešpatáuja, viešpatãvo
vyrauti, výrauja, vyrãvo
žiovauti, žióvauja, žióvavo
žuvauti, žuváuja, žuvãvo
žvygauti, žvýgauja, žvýgavo
