gniuždyti, gniùždo, gniùždė
kiurdyti, kiùrdo, kiurdė
krikdyti, krikdo, krikdė
lipdyti, lìpdo, lìpdė
migdyti, mìgdo, mìgdė
nardyti, nárdo, nárdė
plukdyti, plùkdo, plùkdė
pykdyti, pýkdo, pýkdė
šaldyti, šáldo, šáldė
šaudyti, šáudo, šáudė
šildyti, šìldo, šìldė
smukdyti, smùkdo, smùkdė
tardyti, tárdo, tárdė
temdyti, témdo, témdė
tildyti, tìldo, tìldė
trikdyti, trìkdo, trìkdė
trukdyti, trùkdo, trùkdė
tvardyti, tvárdo, tvárdė
ugdyti, ùgdo, ùgdė
virkdyti, vìrkdo, vìrkdė
vykdyti, výkdo, výkdė
žlugdyti, žlùgdo, žlùgdė
žudyti, žùdo, žùdė
