aktyvinti, aktỹvina, aktỹvino
amžinti, amžinà, ámžino
aukštinti, áukština, áukštino
balinti, bãlina, bãlino
barškinti, bárškina, bárškino
blizginti, blìzgina, blìzgino
bloginti, blõgina, blõgino
blukinti, blùkina, blukino
budinti, bùdina, bùdino
dauginti, dáugina, daũgino
deginti, dẽgina, dẽgino
derinti, dẽrina, dẽrino
didinti, dìdina, dìdino
dievinti, diẽvina, diẽvino
dirginti, dìrgina, dìrgino
dominti, dõmina, dõmino
drebinti, drẽbina, drẽbino
dulkinti, dulkinà, dùlkino
dusinti, dùsina, dùsino
džiuginti, džiùgina, džiùgino
erzinti, érzina, érzino
forminti, formina, formino
garbinti, gárbina, gárbino
gerinti, gẽrina, gẽrino
gilinti, gìlina, gìlino
gražinti, grãžina, grãžino
grąžinti, grãžina, grãžino
greitinti, greĩtina, greĩtino
