dirbinėti, dirbinė́ja, dirbinė́jo
dykinėti, dykinė́ja, dykinė́jo
grabinėti, grabinė́ja, grabinė́jo
jodinėti, jodinė́ja, jodinė́jo
kasinėti, kasinė́ja, kasinė́jo
klausinėti, klausinė́ja, klausinė́jo
lesinėti, lesinė́ja, lesinė́jo
nagrinėti, nagrinė́ja, nagrinė́jo
rašinėti, rašinė́ja, rašinė́jo
siuvinėti, siuvinė́ja, siuvinė́jo
slidinėti, slidinė́ja, slidinė́jo
šnipinėti, šnipinė́ja, šnipinė́jo
šokinėti, šokinė́ja, šokinė́jo
strykinėti, strykinė́ja, strykinė́jo
tyrinėti, tyrinė́ja, tyrinė́jo
vaikštinėti, vaikštinė́ja, vaikštinė́jo
varinėti, varinė́ja, varinė́jo
važinėti, važinė́ja, važinė́jo
žioplinėti, žioplinė́ja, žioplinė́jo
žiūrinėti, žiūrinė́ja, žiūrinė́jo
