bėgioti, bėgiója, bėgiójo
dėlioti, dėliója, dėliójo
galioti, galiója, galiójo
kaišioti, káišioja, káišiojo
kandžioti, kándžioja, kándžiojo
klaidžioti, kláidžioja, kláidžiojo
kvailioti, kvailiója, kvailiójo
laipioti, láipioja, láipiojo
lakioti, lakiója, lakiójo
landžioti, lándžioja, lándžiojo
lekioti, lekiója, lekiójo
medžioti, medžiója, medžiójo
meškerioti, meškeriója, meškeriójo
mikčioti, mikčiója, mikčiójo
nešioti, nešiója, nešiójo
pešioti, pešiója, pešiójo
plaukioti, pláukioja, pláukiojo
raižioti, raižioja, raižiojo
sekioti, sekiója, sekiójo
šėlioti, šėliója, šėliójo
skeryčioti, skeryčiója, skeryčiójo
slankioti, slánkioja, slánkiojo
vadžioti, vadžioja, vadžiojo
vaikščioti, váikščioja, váikščiojo
valioti, valiója, valiójo
vedžioti, vedžiója, vedžiójo
vežioti, vežiója, vežiójo
vilioti, viliója, viliójo
vynioti, vyniója, vyniójo
