asimiliuoti, asimiliúoja, asimiliãvo
bučiuoti, bučiúoja, bučiãvo
buriuoti, buriúoja, buriãvo
būriuoti, buriúoja, buriãvo
eiliuoti, eiliúoja, eiliãvo
izoliuoti, izoliúoja, izoliãvo
karščiuoti, karščiúoja, karščiãvo
kibirkščiuoti, kibirkščiúoja, kibirkščiãvo
kirčiuoti, kirčiúoja, kirčiãvo
kontroliuoti, kontroliúoja, kontroliãvo
kryžiuoti, kryžiúoja, kryžiãvo
manipuliuoti, manipuliúoja, manipuliãvo
niūniuoti, niūniúoja, niūniãvo
obliuoti, obliúoja, obliãvo
pūliuoti, pūliúoja, pūliãvo
reguliuoti, reguliúoja, reguliãvo
rikiuoti, rikiúoja, rikiãvo
skaičiuoti, skaičiúoja, skaičiãvo
smūgiuoti, smūgiúoja, smūgiãvo
šuoliuoti, šuoliúoja, šuoliãvo
transliuoti, transliúoja, transliãvo
važiuoti, važiúoja, važiãvo
vingiuoti, vingiúoja, vingiãvo
žaliuoti, žaliúoja, žaliãvo
žodžiuoti, žodžiuoja, žodžiavo
žygiuoti, žygiúoja, žygiãvo
