aikčioti, áikčioja, áikčiojo
aukoti, aukója, aukójo
balnoti, balnója, balnójo
bėgioti, bėgiója, bėgiójo
bujoti, bujója, bujójo
buvoti, buvója, buvójo
byloti, bylója, bylójo
dėkoti, dėkója, dėkójo
dėlioti, dėliója, dėliójo
dienoti, dienója, dienójo
doroti, dorója, dorójo
dovanoti, dovanója, dovanójo
dulksnoti, dulksnója, dulksnójo
dvejoti, dvejója, dvejójo
eikvoti, eikvója, eikvójo
galioti, galiója, galiójo
galvoti, galvója, galvójo
garbanoti, garbanoja, garbanojo
giedoti, giedoja, giedójo
globoti, globója, globójo
grūmoti, grūmója, grūmójo
gurkšnoti, gurkšnója, gurkšnójo
isšikeroti, išsikerója, išsikerójo
kaišioti, káišioja, káišiojo
kakoti, kakoja, kakojo
kandžioti, kándžioja, kándžiojo
kavoti, kavoja, kavojo
keiksnoti, keiksnója, keiksnójo
kilnoti, kilnója, kilnójo
klaidžioti, kláidžioja, kláidžiojo
klajoti, klajója, klajójo
kniūbčioti, kniūbčioja, kniūbčiojo
kovoti, kovója, kovójo
kramsnoti, kramsnója, kramsnójo
kvailioti, kvailiója, kvailiójo
kvatoti, kvatója, kvatójo
laidoti, láidoja, láidojo
laipioti, láipioja, láipiojo
lakioti, lakiója, lakiójo
landžioti, lándžioja, lándžiojo
lašnoti, lašnója, lašnójo
lekioti, lekiója, lekiójo
liepsnoti, liepsnója, liepsnójo
linkčioti, linkčioja, linkčiojo
lynoti, lynója, lynójo
mazgoti, mazgója, mazgójo
medžioti, medžiója, medžiójo
mėgdžioti, mėgdžioja, mėgdžiojo
meškerioti, meškeriója, meškeriójo
mikčioti, mikčiója, mikčiójo
mirkčioti, mirkčioja, mirkčiojo
nakvoti, nakvója, nakvójo
narplioti, nárplioja, nárpliojo
naudoti, naudója, naudójo
neabejoti, neabejója, neabejójo
nešioti, nešiója, nešiójo
pešioti, pešiója, pešiójo
plasnoti, plasnója, plasnójo
plaukioti, pláukioja, pláukiojo
pleiskanoti, pleiskanója, pleiskanojo
plėtoti, plėtója, plėtójo
putoti, putója, putójo
raitoti, raitoja, raitójo
raižioti, raižioja, raižiojo
rasoti, rasója, rasójo
repečkoti, repečkoja, repečkójo
riaumoti, riaumója, riaumójo
riboti, ribója, ribójo
risnoti, risnója, risnójo
ropoti, ropója, ropójo
saugoti, sáugoja, sáugojo
sekioti, sekiója, sekiójo
šėlioti, šėliója, šėliójo
sijoti, sijója, sijójo
skeryčioti, skeryčiója, skeryčiójo
skėsčioti, skėsčioja, skėsčiojo
slankioti, slánkioja, slánkiojo
spėlioti, spėliója, spėliójo
stokoti, stokója, stokójo
svajoti, svajója, svãjojo
sysioti, sysioja, sysiojo
tausoti, tausója, tausójo
vadžioti, vadžioja, vadžiojo
vagoti, vagója, vagójo
vaikščioti, váikščioja, váikščiojo
valioti, valiója, valiójo
vanoti, vanója, vanójo
vartoti, vartója, vartójo
vasaroti, vasarója, vasarójo
vedžioti, vedžiója, vedžiójo
vežioti, vežiója, vežiójo
vilioti, viliója, viliójo
vynioti, vyniója, vyniójo
žaloti, žalója, žalójo
žiaukčioti, žiáukčioja, žiáukčiojo
žiemoti, žiemója, žiemójo
žvejoti, žvejója, žvejójo
žvilgčioti, žvilgčioja, žvilgčiojo
