dirstelėti, dirstelėja, dìrstelėjo
leptelėti, leptelėja, lèptelėjo
linktelėti, lìnktelėja, lìnktelėjo
mirktelėti, mirktelėja, mìrktelėjo
pliumptelėti, pliumptelėja, pliùmptelėjo
slystelėti, slystelėja, slýstelėjo
šnektelėti, šnektelėja, šnèktelėjo
spustelėti, spustelėja, spùstelėjo
stryktelėti, stryktelėja, strýktelėjo
stumtelėti, stumtelėja, stùmtelėjo
švilptelėti, švilptelėja, švìlptelėjo
šyptelėti, šýptelėja, šýptelėjo
trakštelėti, trakštelėja, tràkštelėjo
vyptelėti, vyptelėja, výptelėjo
žlegtelėti, žiegtelėja, žiegtelėjo
žvilgtelėti, žvìlgtelėja, žvìlgtelėjo
