augti, áuga, áugo
birti, bỹra, bìro
čiupti, čiupa, čiùpo
dilti, dỹla, dìlo
dirbti, dìrba, dìrbo
grimti, grima, grìmo
gverti, gvęra, gvẽro
irti, yrà, ìro
kilti, kỹla, kìlo
klerti, klęra, klèro
knežti, knęža, knežo
knisti, knìsa, knìso
krušti, krušà, krùšo
lipti, lìpa, lìpo
lupti, lùpa, lùpo
pisti, pisa, piso
purti, pūra, pùro
rinkti, reñka, riñko
risti, rìta, rìto
šikti, šika, šiko
šilti, šỹla, šìlo
skilti, skỹla, skìlo
skusti, skùta, skùto
slinkti, sleñka, sliñko
šokti, šóka, šòko
svilti, svylà, svìlo
svirti, svỹra, svìro
tušti, tuša, tùšo
žirti, žỹra, žìro
žysti, žỹra, žìro
