arti, ãria, ãrė
baigti, baĩgia, baĩgė
blokšti, blõškia, blõškė
braukti, braũkia, braũkė
čiuožti, čiuõžia, čiuõžė
cypti, cỹpia, cỹpė
daužti, daũžia, daũžė
dengti, deñgia, deñgė
dergti, dérgia, dérgė
dirti, dìria, dýrė
dobti, dóbia, dobė
drožti, dróžia, dróžė
dvokti, dvõkia, dvõkė
engti, éngia, éngė
gaubti, gaũbia, gaũbė
girti, girià, gýrė
graužti, gráužia, gráužė
griebti, griẽbia, griẽbė
griežti, gríežia, gríežė
grobti, gróbia, gróbė
jaukti, jaũkia, jaũkė
jausti, jaũčia, jaũtė
karti, kãria, kórė
kaukti, kaũkia, kaũkė
kaupti, kaũpia, kaũpė
keikti, kéikia, kéikė
keisti, keĩčia, keĩtė
kenkti, keñkia, keñkė
klaupti, klaũpia, klaũpė
klausti, kláusia, kláusė
klykti, klỹkia, klỹkė
kopti, kõpia, kõpė
košti, kóšia, kõšė
kreipti, kreĩpia, kreĩpė
kuisti, kuĩčia, kuitė
kuopti, kuõpia, kuõpė
kviesti, kviẽčia, kviẽtė
laukti, láukia, laũkė
laužti, láužia, láužė
lenkti, leñkia, lénkė
liepti, liẽpia, liẽpė
liesti, liẽčia, liẽtė
lošti, lõšia, lõšė
melžti, mélžia, mélžė
merkti, mérkia, mérkė
miaukti, miaũkia, miaũkė
miešti, miẽšia, miẽšė
mykti, mỹkia, mỹkė
neigti, neĩgia, neĩgė
niokti, niokia, niokė
ošti, õšia, õšė
peikti, peĩkia, peĩkė
piešti, piẽšia, piẽšė
plaukti, plaũkia, plaũkė
pliaukšti, pliaũškia, pliaũškė
puošti, puõšia, puõšė
raugti, ráugia, ráugė
raukti, raũkia, raũkė
reikšti, réiškia, réiškė
reikti, reĩkia, reĩkė
rengti, reñgia, reñgė
riesti, riẽčia, riẽtė
ruošti, ruõšia, ruõšė
šaukti, šaũkia, šaũkė
siausti, siaũčia, siaũtė
siekti, síekia, síekė
skelbti, skélbia, skélbė
skirti, skìria, skýrė
šliaužti, šliaũžia, šliaũžė
smaugti, smáugia, smáugė
smaukti, smaũkia, smaũkė
šmeižti, šmeĩžia, šmeĩžė
smogti, smõgia, smõgė
spiegti, spiẽgia, spiẽgė
spirti, spìria, spýrė
sriuobti, sriuobia, sriuobė
staugti, stáugia, stáugė
steigti, steĩgia, steĩgė
šveisti, šveĩčia, šveĩtė
tarti, tãria, tãrė
taukšti, taũškia, taũškė
teigti, teĩgia, teĩgė
teikti, teĩkia, teĩkė
teisti, teĩsia, téisė
tiekti, tiẽkia, tiẽkė
tirti, tìria, tỹrė
traukti, tráukia, tráukė
trenkti, treñkia, treñkė
tuokti, tuõkia, tuõkė
tvenkti, tveñkia, tveñkė
veikti, veĩkia, veĩkė
veisti, veĩsia, veitė
vengti, véngia, véngė
vilti, vìlia, vylė
vogti, vãgia, võgė
vožti, vóžia, vóžė
žengti, žeñgia, žeñgė
žiebti, žiẽbia, žiẽbė
žliaugti, žliaũgia, žliaũgė
žnybti, žnýbia, žnybė
žvengti, žvéngia, žvéngė
žviegti, žviẽgia, žviẽgė
