absorbuoti, absorbúoja, absorbãvo
abstrahuoti, abstrahúoja, abstrahãvo
adaptuoti, adaptúoja, adaptãvo
administruoti, administrúoja, administrãvo
adresuoti, adresúoja, adresãvo
akcentuoti, akcentúoja, akcentãvo
analizuoti, analizúoja, analizãvo
areštuoti, areštúoja, areštãvo
auksuoti, auksúoja, auksãvo
balansuoti, balansúoja, balansãvo
banguoti, bangúoja, bangãvo
bankrutuoti, bankrutúoja, bankrutãvo
blokuoti, blokúoja, blokãvo
boluoti, bolúoja, bolãvo
bombarduoti, bombardúoja, bombardãvo
cituoti, citúoja, citãvo
