adaptuotis, adaptúojasi, adaptãvosi
darbuotis, darbúojasi, darbãvosi
fermentuotis, fermentúojasi, fermentãvosi
formuotis, formúojasi, formãvosi
integruotis, integrúojasi, integrãvosi
kamuotis, kamúojasi, kamãvosi
konsultuotis, konsultúojasi, konsultãvosi
masturbuotis, masturbuojasi, masturbavosi
myluotis, mylúojasi, mylavosi
puikuotis, puikúojasi, puikãvosi
registruotis, registrúojasi, registrãvosi
reklamuotis, reklamúojasi, reklamãvosi
rimuotis, rimúojasi, rimavosi
rokuotis, rokuojasi, rokavosi
šukuotis, šukúojasi, šukãvosi
treniruotis, trenirúojasi, trenirãvosi
