adyti, ãdo, ãdė
badyti, bãdo, bãdė
baidyti, baĩdo, baĩdė
bandyti, bañdo, bañdė
blaškyti, blãško, blãškė
braidyti, braĩdo, braĩdė
braižyti, braĩžo, braĩžė
braukyti, braũko, braũkė
daryti, dãro, dãrė
daužyti, daũžo, daũžė
dažyti, dãžo, dãžė
draskyti, drãsko, drãskė
ganyti, gãno, gãnė
gaudyti, gáudo, gáudė
glaudyti, glaudo, glaũdė
glostyti, glósto, glóstė
graibyti, graĩbo, graĩbė
gramdyti, grámdo, grámdė
gundyti, gùndo, guñdė
gydyti, gýdo, gýdė
kasyti, kãso, kãsė
kaustyti, káusto, káustė
kinkyti, kiñko, kiñkė
kirdyti, kirdo, kirdė
klausyti, klaũso, klaũsė
kliudyti, kliùdo, kliùdė
kraipyti, kraĩpo, kraĩpė
krapštyti, krãpšto, krãpštė
kratyti, krãto, krãtė
laikyti, laĩko, laĩkė
laižyti, laĩžo, laĩžė
lamdyti, lámdo, lámdė
lankyti, lañko, lañkė
laužyti, láužo, láužė
lydyti, lýdo, lýdė
maigyti, máigo, máigė
maišyti, maĩšo, maĩšė
manyti, mãno, mãnė
maudyti, máudo, máudė
minkyti, mìnko, mìnkė
mokyti, móko, mókė
paisyti, paĩso, paĩsė
plaukyti, pláuko, plaũkė
plikyti, plìko, plìkė
purtyti, pùrto, pùrtė
pustyti, pùsto, pùstė
raityti, raĩto, raĩtė
raižyti, ráižo, raĩžė
rangyti, rángo, rañgė
rankyti, ranko, rankė
rašyti, rãšo, rãšė
rodyti, ròdo, ródė
sakyti, sãko, sãkė
skabyti, skãbo, skãbė
skaidyti, skáido, skáidė
skaityti, skaĩto, skaĩtė
skaldyti, skáldo, skáldė
sklaidyti, sklaĩdo, sklaĩdė
skraidyti, skraĩdo, skraĩdė
slaugyti, slaũgo, slaũgė
smaigyti, smaĩgo, smaĩgė
smaukyti, smaũko, smaũkė
stabdyti, stãbdo, stãbdė
statyti, stãto, stãtė
svaidyti, sváido, sváidė
švaistyti, švaĩsto, švaĩstė
taikyti, táiko, táikė
taisyti, taĩso, taĩsė
taškyti, tãško, tãškė
tašyti, tãšo, tãšė
taupyti, taũpo, taũpė
traiškyti, tráiško, tráiškė
tramdyti, trámdo, trámdė
trankyti, trañko, trañkė
uostyti, úosto, úostė
vaikyti, vaĩko, vaĩkė
vaipyti, vaipo, vaipė
valgyti, válgo, válgė
valyti, vãlo, vãlė
žindyti, žìndo, žìndė
