baidytis, baĩdosi, baĩdėsi
blaškytis, blãškosi, blãškėsi
dairytis, daĩrosi, daĩrėsi
graibytis, graĩbosi, graĩbėsi
gydytis, gýdosi, gýdėsi
klausytis, klaũsosi, klaũsėsi
kratytis, krãtosi, krãtėsi
laikytis, laĩkosi, laĩkėsi
lankytis, lañkosi, lañkėsi
maivytis, máivosi, máivėsi
maudytis, máudosi, máudėsi
mokytis, mókosi, mókėsi
purtytis, pùrtosi, pùrtėsi
raitytis, raĩtosi, raĩtėsi
rangytis, rañgosi, rañgėsi
rašytis, rãšosi, rãšėsi
rodytis, ródosi, ródėsi
šaipytis, šaĩposi, šaĩpėsi
skaitytis, skaĩtosi, skaĩtėsi
sklaidytis, sklaĩdosi, sklaĩdėsi
taikytis, táikosi, táikėsi
taisytis, taĩsosi, taĩsėsi
taškytis, tãškosi, tãškėsi
valytis, vãlosi, vãlėsi
