audėti, auda, audėjo
blizgėti, blìzga, blizgėjo
brazdėti, brãzda, brazdėjo
burbėti, bùrba, burbėjo
byrėti, bỹra, byrėjo
čežėti, čẽža, čežėjo
čiauškėti, čiáuška, čiauškėjo
čirpėti, čirpa, čirpėjo
čiulbėti, čiùlba, čiulbėjo
derėti, dẽra, derėjo
drebėti, drẽba, drebėjo
dundėti, dùnda, dundėjo
gagėti, gagà, gagėjo
gebėti, gẽba, gebėjo
girgždėti, girgždà, girgždėjo
judėti, jùda, judėjo
kabėti, kabà, kabėjo
kalbėti, kalbà, kalbėjo
kirbėti, kìrba, kirbėjo
knibždėti, knìbžda, knibždėjo
krutėti, krùta, krutėjo
lašėti, lãša, lašėjo
mirgėti, mìrga, mirgėjo
mokėti, mokà, mokėjo
murmėti, mùrma, murmėjo
plepėti, plẽpa, plepėjo
plėpėti, plẽpa, plepėjo
pleškėti, plẽška, pleškėjo
pyškėti, pýška, pyškėjo
ridėti, ridà, ridėjo
riedėti, riẽda, riedėjo
skambėti, skamba, skambėjo
skaudėti, skaũda, skaudėjo
skubėti, skùba, skubėjo
šlamėti, šlãma, šlamėjo
šnabždėti, šnãbžda, šnabždėjo
šnekėti, šnekà, šnekėjo
šnibždėti, šnìbžda, šnibždėjo
tekėti, tẽka, tekėjo
tratėti, trãta, tratėjo
trupėti, trùpa, trupėjo
virpėti, vìrpa, virpėjo
vizgėti, vizga, vizgėjo
žadėti, žãda, žadėjo
žibėti, žìba, žibėjo
žvarbėti, žvarbà, žvarbėjo
žvilgėti, žvìlga, žvilgėjo
žybėti, žìba, žibėjo
