audėti, auda, audė́jo
blizgėti, blìzga, blizgė́jo
brazdėti, brãzda, brazdė́jo
burbėti, bùrba, burbė́jo
byrėti, bỹra, byrė́jo
čežėti, čẽža, čežė́jo
čiauškėti, čiáuška, čiauškė́jo
čiulbėti, čiùlba, čiulbė́jo
derėti, dẽra, derė́jo
drebėti, drẽba, drebė́jo
dundėti, dùnda, dundė́jo
gebėti, gẽba, gebė́jo
girgždėti, girgždà, girgždė́jo
judėti, jùda, judė́jo
kabėti, kabà, kabė́jo
kalbėti, kalbà, kalbė́jo
kirbėti, kìrba, kirbė́jo
knibždėti, knìbžda, knibždė́jo
krutėti, krùta, krutė́jo
lašėti, lãša, lašė́jo
mirgėti, mìrga, mirgė́jo
mokėti, mokà, mokė́jo
murmėti, mùrma, murmė́jo
plepėti, plẽpa, plepė́jo
plėpėti, plẽpa, plepė́jo
pleškėti, plẽška, pleškė́jo
pyškėti, pýška, pyškė́jo
riedėti, riẽda, riedė́jo
skaudėti, skaũda, skaudė́jo
skubėti, skùba, skubė́jo
šlamėti, šlãma, šlamė́jo
šnabždėti, šnãbžda, šnabždė́jo
šnekėti, šnekà, šnekė́jo
šnibždėti, šnìbžda, šnibždė́jo
tekėti, tẽka, tekė́jo
tratėti, trãta, tratė́jo
trupėti, trùpa, trupė́jo
virpėti, vìrpa, virpė́jo
vizgėti, vizga, vizgė́jo
žadėti, žãda, žadė́jo
žibėti, žìba, žibė́jo
žvilgėti, žvìlga, žvilgė́jo
žybėti, žìba, žibė́jo
