aidėti, áidi, aidėjo
amsėti, ámsi, amsėjo
avėti, ãvi, avėjo
bakstelėti, bãksteli, bãkstelėjo
bodėti, bõdi, bodėjo
budėti, bùdi, budėjo
dėvėti, dėvi, dėvėjo
gailėti, gaĩli, gailėjo
galėti, gãli, galėjo
gedėti, gẽdi, gedėjo
girdėti, girdi, girdėjo
glūdėti, glūdi, glūdėjo
godėti, gõdi, godėjo
gulėti, gùli, gulėjo
ilsėti, ilsi, ilsėjo
kalėti, kãli, kalėjo
kerėti, kẽri, kerėjo
kilstelėti, kilsteli, kilstelėjo
klestėti, klẽsti, klestėjo
kliedėti, klíedi, kliedėjo
klūpėti, klūpi, klūpėjo
kranksėti, kránksi, kranksėjo
krustelėti, krùsteli, krùstelėjo
kylėti, kỹli, kylėjo
laimėti, laĩmi, laimėjo
lindėti, liñdi, lindėjo
linkėti, liñki, linkėjo
linksėti, linksi, linksėjo
liūdėti, liūdi, liūdėjo
lydėti, lỹdi, lydėjo
lytėti, lýti, lytėjo
minėti, mini, minėjo
mirksėti, mirksi, mirksėjo
mūvėti, mūvi, mūvėjo
mylėti, mýli, mylėjo
nėšėti, nėši, nėšėjo
norėti, nóri, norėjo
pypsėti, pýpsi, pypsėjo
regėti, rẽgi, regėjo
rūpėti, rūpi, rupėjo
ryšėti, rỹši, ryšėjo
sėdėti, sėdi, sėdėjo
šlepsėti, šlèpsi, šlepsėjo
slypėti, slỹpi, slypėjo
smirdėti, smirdi, smirdėjo
spindėti, spiñdi, spindėjo
stebėti, stẽbi, stebėjo
stovėti, stóvi, stovėjo
stūmėti, stūmi, stūmėjo
švytėti, švỹti, švytėjo
šykštėti, šykšti, šykštėjo
tikėti, tiki, tikėjo
tiksėti, tiksi, tiksėjo
tingėti, tingi, tingėjo
trepsėti, trèpsi, trepsėjo
tupėti, tùpi, tupėjo
turėti, turi, turėjo
tylėti, tỹli, tylėjo
vešėti, veši, vešėjo
viešėti, viẽši, viešėjo
žagsėti, žàgsi, žagsėjo
žavėti, žãvi, žavėjo
žėrėti, žėri, žėrėjo
žiojėti, žiõji, žiojėjo
žiūrėti, žiūri, žiūrėjo
žlegsėti, žlegsi, žlegsėjo
žybsėti, žýbsi, žybsėjo
žydėti, žýdi, žydėjo
žymėti, žỹmi, žymėjo
