akėti, akė́ja, akė́jo
aktyvėti, aktyvė́ja, aktyvė́jo
artėti, artė́ja, artė́jo
blogėti, blogė́ja, blogė́jo
daugėti, daugė́ja, daugė́jo
garsėti, garsė́ja, garsė́jo
gausėti, gausė́ja, gausė́jo
genėti, genė́ja, genė́jo
gerėti, gerė́ja, gerė́jo
giedrėti, giedrė́ja, giedrė́jo
gilėti, gilė́ja, gilė́jo
glamonėti, glamonė́ja, glamonė́jo
gražėti, gražė́ja, gražė́jo
griaudėti, griaudė́ja, griaudė́jo
gyvėti, gyvė́ja, gyvė́jo
ilgėti, ilgė́ja, ilgė́jo
kerpėti, kerpė́ja, kerpė́jo
lengvėti, lengvė́ja, lengvė́jo
mažėti, mažė́ja, mažė́jo
menkėti, menkė́ja, menkė́jo
populiarėti, populiarė́ja, populiarė́jo
ryškėti, ryškė́ja, ryškė́jo
siaurėti, siaurė́ja, siaurė́jo
stambėti, stambė́ja, stambė́jo
stiprėti, stiprė́ja, stiprė́jo
storėti, storė́ja, storė́jo
šviesėti, šviesė́ja, šviesė́jo
tobulėti, tobulė́ja, tobulė́jo
trumpėti, trumpė́ja, trumpė́jo
tuštėti, tuštė́ja, tuštė́jo
tvirtėti, tvirtė́ja, tvirtė́jo
vertėti, vertė́ja, vertė́jo
žemėti, žemė́ja, žemė́jo
