aikčioti, čioti_čioja_čiojo
barstyti, styti_̃sto_̃stė
barstytis, stytis_̃stosi_̃stėsi
bidzenti, dzenti_zdena_zdeno
bjurti, jurti_jursta_juro
blęsti, lęsti_lendžia_lendė
būgštauti, štauti_gtauja_gštavo
dalyvauti, yvauti_yvauja_yvavo
dangstytis, stytis_stosi_stėsi
dėstyti, styti_́sto_́stė
dievagotis, agotis_agojasi_agojosi
direktoriauti, oriauti_oriauja_oriavo
dovanoti, anoti_anoja_anojo
dovanotis, anotis_anoja_anojo
drabstyti, styti_sto_stė
drybsoti, rybsoti_rỹbso_rybsojo
dubliouti, iouti_iuoja_iavo
dulksnoti, snoti_snoja_snojo
dvejoti, ejoti_ejoja_ejojo
elgegauti, egauti_etauja_etavo
garbanoti, anoti_anoja_anojo
gąstauti, tauti_tauja_tavo
gervuogiauti, uogiauti_uogiauja_uogiavo
ginčyti, inčyti_inčija_inčijo
ginčytis, inčytis_inčijasi_inčijosi
girtauti, tauti_tauja_tavo
glerti, lerti_lęra_lero
gnaibyti, naibyti_naibo_naibė
gnybti, nybti_nybia_nybė
grizti, rizti_ryzta_rizo
grobstyti, styti_sto_stė
gurkšnoti, šnoti_šnoja_šnojo
issigąsti, sigąsti_sigą̃sta_sigando
isšikeroti, šikeroti_sikeroja_sikerojo
kariauti, iauti_iauja_iavo
keiksnoti, snoti_snoja_snojo
keliauti, iauti_iauja_iavo
kerštauti, tauti_tauja_tavo
klostytis, stytis_stosi_stėsi
kniaukti, niaukti_niaũkia_niaũkė
kniūbčioti, čioti_čioja_čiojo
kraustyti, styti_sto_stėsi
kraustytis, stytis_stosi_stėsi
laistyti, styti_sto_stė
lakstyti, styti_sto_stė
lankstyti, styti_sto_stė
lenktyniauti, tyniauti_tyniauja_tyniavo
liežuvauti, uvauti_uvauja_uvavo
linkčioti, čioti_čioja_čiojo
mainyti, inyti_ĩno_ĩnė
mėgdžioti, džioti_gdžioja_gdžiojo
meilikauti, ikauti_ikauja_ikavo
mindyti, indyti_ind_indė
mirkčioti, čioti_čioja_čiojo
mokytojauti, ytojauti_ytojauja_ytojavo
narplioti, lioti_lioja_liojo
nerimauti, imauti_imauja_imavo
obuoliauti, iauti_iauja_iavo
piktnaudžiauti, tnaudžiauti_tnaudžiauja_tnaudžiavo
pjaustyti, styti_sto_stė
pleiskanoti, anoti_anoja_anojo
plėšikauti, ikauti_ikauja_ikavo
poilsiauti, ilsiauti_ilsiauja_ilsiavo
posėdžiauti, sėdžiauti_sėdžiauja_sėdžiavo
prekiauti, iauti_iauja_iavo
raikyti, ikyti_ĩko_ĩkė
ramstytis, stytis_̃stosi_̃stėsi
reikalauti, alauti_alauja_alavo
repečkoti, ečkoti_ečkoja_ečkojo
rungtyniauti, tyniauti_tyniauja_tyniavo
santykiauti, tykiauti_tykiauja_tykiavo
šeimininkauti, ininkauti_ininkauja_ininkavo
sielvartauti, vartauti_vartauja_vartavo
siūbtelti, telti_bteli_btelėjo
skėsčioti, čioti_sčioja_sčiojo
skirstyti, styti_sto_stė
skirstytis, stytis_stosi_stėsi
smaguriauti, iauti_iauja_iavo
smaigstyti, styti_sto_stė
smaližiauti, iauti_iauja_iavo
šnektelti, telti_teli_telėjo
snerkšti, erkšti_erkščia_irkštė
šnerpšti, erpšti_erpščia_ir̃pštė
šniokšti, iokšti_iokščia_iokštė
šniypšti, iypšti_ỹpščia_ỹpštė
spėlioti, lioti_lioja_liojo
spisti, pisti_pinta_pito
stovyklauti, yklauti_yklauja_yklavo
svarstyti, styti_̃sto_̃stė
švokšti, okšti_okščia_okštė
sysioti, ysioti_ysioja_ysiojo
tarpininkauti, ininkauti_ininkauja_ininkavo
tebebūti, bebūti_bebū̃na_bebuvo
tinginiauti, iniauti_iniauja_iniavo
tmepti, mepti_em̃pia_emptė
tursenti, senti_sẽna_sẽno
tvarstyti, styti_sto_stė
ūkininkauti, ninkauti_ninkauja_ninkavo
vadovauti, ovauti_ovauja_ovavo
vadovautis, ovautis_ovaujasi_ovavosi
vagiliauti, iliauti_iliauja_iliavo
vakarienauti, ienauti_ieniauja_ieniavo
vakarieniauti, ieniauti_ienauja_ieniavo
valkatauti, atauti_atauja_atavo
vanoti, anoti_anoja_anojo
varstyti, styti_sto_stė
vartototi, ototi_oja_ojo
veidmaniauti, maniauti_mainiauja_mainiavo
verkšlenti, šlenti_šlẽna_šlẽno
vertėjauti, ėjauti_ėjauja_ėjavo
viešpatauti, patauti_patauja_patavo
žiaukčioti, kčioti_kčioja_kčiojo
žinoti, inoti_ino_inojo
žvilgčioti, čioti_čioja_čiojo
