bidzenti, dzenti_zdena_zdeno
bjurti, jurti_jursta_juro
blęsti, lęsti_lendžia_lendė
būgštauti, štauti_gtauja_gštavo
dalyvauti, yvauti_yvauja_yvavo
direktoriauti, oriauti_oriauja_oriavo
dubliouti, iouti_iuoja_iavo
elgegauti, egauti_etauja_etavo
gąstauti, tauti_tauja_tavo
gervuogiauti, uogiauti_uogiauja_uogiavo
girtauti, tauti_tauja_tavo
glerti, lerti_lęra_lero
gnybti, nybti_nybia_nybė
grizti, rizti_ryzta_rizo
issigąsti, sigąsti_sigą̃sta_sigando
kariauti, iauti_iauja_iavo
keliauti, iauti_iauja_iavo
kerštauti, tauti_tauja_tavo
kniaukti, niaukti_niaũkia_niaũkė
lenktyniauti, tyniauti_tyniauja_tyniavo
liežuvauti, uvauti_uvauja_uvavo
meilikauti, ikauti_ikauja_ikavo
mokytojauti, ytojauti_ytojauja_ytojavo
nerimauti, imauti_imauja_imavo
obuoliauti, iauti_iauja_iavo
piktnaudžiauti, tnaudžiauti_tnaudžiauja_tnaudžiavo
plėšikauti, ikauti_ikauja_ikavo
poilsiauti, ilsiauti_ilsiauja_ilsiavo
posėdžiauti, sėdžiauti_sėdžiauja_sėdžiavo
prekiauti, iauti_iauja_iavo
reikalauti, alauti_alauja_alavo
rungtyniauti, tyniauti_tyniauja_tyniavo
santykiauti, tykiauti_tykiauja_tykiavo
šeimininkauti, ininkauti_ininkauja_ininkavo
sielvartauti, vartauti_vartauja_vartavo
siūbtelti, telti_bteli_btelėjo
smaguriauti, iauti_iauja_iavo
smaližiauti, iauti_iauja_iavo
šnektelti, telti_teli_telėjo
snerkšti, erkšti_erkščia_irkštė
šnerpšti, erpšti_erpščia_ir̃pštė
šniokšti, iokšti_iokščia_iokštė
šniypšti, iypšti_ỹpščia_ỹpštė
spisti, pisti_pinta_pito
stovyklauti, yklauti_yklauja_yklavo
švokšti, okšti_okščia_okštė
tarpininkauti, ininkauti_ininkauja_ininkavo
tebebūti, bebūti_bebū̃na_bebuvo
tinginiauti, iniauti_iniauja_iniavo
tmepti, mepti_em̃pia_emptė
tursenti, senti_sẽna_sẽno
ūkininkauti, ninkauti_ninkauja_ninkavo
vadovauti, ovauti_ovauja_ovavo
vadovautis, ovautis_ovaujasi_ovavosi
vagiliauti, iliauti_iliauja_iliavo
vakarienauti, ienauti_ieniauja_ieniavo
vakarieniauti, ieniauti_ienauja_ieniavo
valkatauti, atauti_atauja_atavo
veidmaniauti, maniauti_mainiauja_mainiavo
verkšlenti, šlenti_šlẽna_šlẽno
vertėjauti, ėjauti_ėjauja_ėjavo
viešpatauti, patauti_patauja_patavo
