key = a, value = a, stripped = a
key = ã, value = ã, stripped = a
key = à, value = à, stripped = a
key = á, value = á, stripped = a
key = ą, value = ą, stripped =
key = ą̀, value = ą̀, stripped = ą
key = ą́, value = ą́, stripped = ą
key = ą̃, value = ą̃, stripped = ą
key = e, value = e, stripped =
key = ẽ, value = ẽ, stripped = e
key = è, value = è, stripped = e
key = é, value = é, stripped = e
key = ę, value = ę, stripped =
key = ę̀, value = ę̀, stripped = ę
key = ę́, value = ę́, stripped = ę
key = ę̃, value = ę̃, stripped = ę
key = ė, value = ė, stripped =
key = ė̀, value = ė̀, stripped = ė
key = ė́, value = ė́, stripped = ė
key = ė̃, value = ė̃, stripped = ė
key = į, value = į, stripped =
key = į̀, value = į, stripped = į
key = į́, value = į, stripped = į
key = į̃, value = į, stripped = į
key = ì, value = ì, stripped = į
key = í, value = í, stripped = į
key = ĩ, value = ĩ, stripped = į
key = o, value = o, stripped =
key = ò, value = ò, stripped = o
key = ó, value = ó, stripped = o
key = õ, value = õ, stripped = o
key = u, value = u, stripped =
key = ù, value = ù, stripped = u
key = ú, value = ú, stripped = u
key = ũ, value = ũ, stripped = u
key = ų, value = ų, stripped =
key = ų̀, value = ų̀, stripped = ų
key = ų́, value = ų́, stripped = ų
key = ų̃, value = ų̃, stripped = ų
key = ū, value = ū, stripped =
key = ū̀, value = ū̀, stripped = ū
key = ū́, value = ū́, stripped = ū
key = ū̃, value = ū̃, stripped = ū
key = y, value = y, stripped =
key = ỳ, value = ỳ, stripped = y
key = ý, value = ý, stripped = y
key = ỹ, value = ỹ, stripped = y
key = l, value = l, stripped =
key = l̀, value = l̀, stripped = l
key = ĺ, value = ĺ, stripped = l
key = l̃, value = l̃, stripped = l
key = m, value = m, stripped =
key = m̀, value = m̀, stripped = m
key = ḿ, value = ḿ, stripped = m
key = m̃, value = m̃, stripped = m
key = n, value = n, stripped =
key = ǹ, value = ǹ, stripped = n
key = ń, value = ń, stripped = n
key = ñ, value = ñ, stripped = n
key = r, value = r, stripped =
key = r̀, value = r̀, stripped = r
key = ŕ, value = ŕ, stripped = r
key = r̃, value = r̃, stripped = r
